county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Poverty,Income,IncomePerCap,IncomePerCapErr
Fulton,KY,1549.0,774.0,2382.0,2421.0,1605.0,791.0,239.0,3.0,6259.0,3094.0,3165.0,0.7,71.2,24.4,0.1,0.2,0.0,25.3,28274.0,18111.0,1764.0
Fulton,NY,12759.0,5805.0,19563.0,20180.0,13989.0,5804.0,367.0,24.0,53955.0,26899.0,27056.0,2.8,93.2,1.8,0.2,0.7,0.0,16.0,48033.0,26298.0,1046.0
Fulton,OH,13419.0,5981.0,20693.0,22299.0,15396.0,6545.0,647.0,16.0,42296.0,20912.0,21384.0,8.4,89.4,0.3,0.2,0.4,0.1,10.6,57774.0,27922.0,1292.0
Fulton,PA,5676.0,904.0,6743.0,7978.0,6824.0,1085.0,95.0,4.0,14631.0,7376.0,7255.0,1.2,96.3,1.5,0.3,0.1,0.0,11.5,50007.0,25273.0,812.0
Furnas,NE,1915.0,304.0,2315.0,2601.0,2163.0,399.0,112.0,3.0,4814.0,2356.0,2458.0,3.7,94.2,0.3,0.0,0.1,0.0,13.5,43400.0,24522.0,1213.0
Gadsden,FL,6721.0,14994.0,22079.0,23800.0,7465.0,16152.0,3072.0,56.0,46113.0,21869.0,24244.0,10.0,32.6,55.3,0.1,0.5,0.1,24.4,39830.0,19252.0,819.0
Gage,NE,6333.0,2930.0,9854.0,11068.0,7445.0,3385.0,600.0,5.0,21632.0,10816.0,10816.0,2.3,95.0,0.6,0.4,0.6,0.2,9.1,52223.0,27424.0,896.0
Gaines,TX,3907.0,597.0,4609.0,5960.0,5323.0,572.0,581.0,12.0,19889.0,10082.0,9807.0,40.6,56.3,2.3,0.1,0.5,0.0,11.0,58167.0,22656.0,2576.0
Gallatin,IL,1942.0,656.0,2691.0,2673.0,2019.0,621.0,117.0,2.0,5226.0,2475.0,2751.0,1.1,95.8,0.3,0.5,0.3,0.0,16.6,42450.0,24538.0,1996.0
Gallatin,KY,2443.0,749.0,3337.0,3849.0,2955.0,822.0,131.0,8.0,8652.0,4420.0,4232.0,5.2,91.3,1.5,0.0,0.1,0.0,13.4,50250.0,22508.0,1388.0
