cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Unemployment
2732.0,14.0,84113.0,41867.0,42246.0,8.3,84.5,0.6,2.7,1.2,0.2,6.3
125.0,4.0,8580.0,5112.0,3468.0,1.5,73.1,15.8,4.7,0.5,0.0,6.0
57.0,0.0,4905.0,2525.0,2380.0,3.2,92.4,0.7,1.5,0.7,0.0,2.5
1061.0,9.0,26201.0,13976.0,12225.0,4.2,45.7,47.8,0.2,0.6,0.0,12.4
187.0,1.0,16790.0,8165.0,8625.0,0.9,95.7,0.9,0.4,0.7,0.0,8.9
410.0,1.0,10971.0,5397.0,5574.0,1.9,92.9,0.9,2.0,0.5,0.0,3.1
2051.0,185.0,213900.0,102152.0,111748.0,2.7,90.2,2.7,0.4,1.5,0.1,5.5
887.0,25.0,21788.0,10369.0,11419.0,2.3,51.2,45.1,0.1,0.4,0.0,10.1
1358.0,13.0,43418.0,21123.0,22295.0,3.0,90.7,3.9,0.2,0.5,0.0,7.6
1320.0,7.0,45358.0,22759.0,22599.0,2.4,93.8,1.2,0.8,0.7,0.0,3.6
2672.0,51.0,75099.0,37033.0,38066.0,10.0,73.0,11.1,0.1,3.6,0.0,6.8
803.0,6.0,59607.0,29958.0,29649.0,2.7,94.6,0.4,0.2,0.5,0.0,6.2
912.0,9.0,35398.0,17782.0,17616.0,9.0,86.5,0.3,0.6,1.5,0.0,8.0
1597.0,59.0,81024.0,40688.0,40336.0,6.5,83.2,1.7,0.2,6.3,0.1,5.0
803.0,7.0,27067.0,13445.0,13622.0,14.5,82.0,1.1,0.3,0.1,0.2,4.2
453.0,4.0,11942.0,5924.0,6018.0,2.5,92.7,0.2,1.9,0.6,0.0,5.4
3714.0,96.0,102623.0,50888.0,51735.0,8.2,78.2,10.5,0.2,0.9,0.0,6.0
2023.0,32.0,80306.0,40845.0,39461.0,36.0,53.7,7.7,0.4,0.9,0.0,7.7
271.0,8.0,16405.0,8010.0,8395.0,2.1,94.5,1.2,0.4,0.2,0.1,5.2
138.0,1.0,12189.0,6012.0,6177.0,1.5,95.4,1.0,0.1,0.3,0.0,7.8
26.0,0.0,4458.0,2311.0,2147.0,5.7,85.3,2.7,0.0,0.3,0.0,9.1
776.0,11.0,41093.0,19857.0,21236.0,2.1,95.1,0.2,0.5,0.4,0.0,5.8
6879.0,134.0,180117.0,89542.0,90575.0,6.0,77.3,10.7,0.7,2.3,0.0,6.4
1602.0,65.0,105350.0,51875.0,53475.0,5.2,90.4,1.5,0.2,0.6,0.0,7.4
280.0,2.0,15004.0,7642.0,7362.0,1.7,85.0,0.6,10.0,0.5,0.0,5.5
46.0,3.0,3602.0,1740.0,1862.0,10.1,83.8,3.2,0.0,0.0,0.0,2.3
1397.0,15.0,18163.0,9219.0,8944.0,9.1,79.5,0.4,1.4,9.3,0.0,2.1
