county,state,Men,Women
Cambria,PA,66777.0,69094.0
Camden,GA,26821.0,25431.0
Camden,MO,22316.0,22539.0
Camden,NC,5103.0,5233.0
Camden,NJ,246942.0,264054.0
Cameron,PA,2419.0,2335.0
Cameron,TX,203657.0,216544.0
Cameron,LA,3289.0,3517.0
Camp,TX,6215.0,6455.0
Campbell,KY,45005.0,46799.0
Campbell,SD,720.0,723.0
Campbell,TN,19411.0,20413.0
Campbell,VA,26745.0,28413.0
Campbell,WY,25001.0,23115.0
Canadian,OK,66068.0,66854.0
Candler,GA,5353.0,5541.0
Cannon,TN,6738.0,7101.0
Canyon,ID,102480.0,104547.0
Cape Girardeau,MO,37860.0,40153.0
Cape May,NJ,46158.0,48391.0
Carbon,MT,5271.0,5195.0
Carbon,PA,31716.0,32271.0
Carbon,UT,10088.0,10424.0
Carbon,WY,8456.0,7233.0
Caribou,ID,3483.0,3379.0
Carlisle,KY,2378.0,2512.0
Carlton,MN,18500.0,16908.0
Caroline,MD,15971.0,16814.0
Caroline,VA,14807.0,15082.0
Carroll,AR,13634.0,14148.0
Carroll,GA,56032.0,58866.0
Carroll,IA,10052.0,10376.0
Carroll,IL,7288.0,7416.0
Carroll,IN,9980.0,10014.0
Carroll,KY,5467.0,5228.0
Carroll,MD,82784.0,84535.0
Carroll,MO,4321.0,4588.0
Carroll,MS,5157.0,5064.0
Carroll,NH,23734.0,23790.0
Carroll,OH,13824.0,14001.0
Carroll,TN,13758.0,14379.0
Carroll,VA,14993.0,14774.0
Carson City,NV,27794.0,26425.0
Carson,TX,2888.0,3145.0
Carter,KY,13462.0,13923.0
Carter,MO,2981.0,3274.0
Carter,MT,660.0,660.0
Carter,OK,23449.0,24958.0
Carter,TN,27736.0,28764.0
Carteret,NC,33760.0,34939.0
Carver,MN,49086.0,49713.0
Cascade,MT,41259.0,40557.0
Casey,KY,7785.0,8020.0
Cass,IA,6586.0,6741.0
Cass,IL,6529.0,6351.0
Cass,IN,19091.0,19157.0
Cass,MI,25861.0,25536.0
Cass,MN,14698.0,14112.0
Cass,MO,50019.0,51869.0
Cass,ND,86284.0,84336.0
Cass,NE,12813.0,12700.0
Cass,TX,14599.0,15519.0
Cassia,ID,11966.0,11506.0
Castro,TX,3958.0,3933.0
Caswell,NC,11490.0,11343.0
Catahoula,LA,5359.0,4685.0
Catawba,NC,76437.0,79745.0
Catoosa,GA,31953.0,33917.0
Catron,NM,1861.0,1686.0
Cattaraugus,NY,38739.0,39436.0
Cavalier,ND,1944.0,1873.0
Cayuga,NY,40132.0,38187.0
Cecil,MD,50878.0,51538.0
Cedar,IA,9148.0,9220.0
Cedar,MO,6883.0,6979.0
Cedar,NE,4349.0,4212.0
Centre,PA,84313.0,76333.0
Cerro Gordo,IA,21011.0,22123.0
Chaffee,CO,10056.0,8762.0
Chambers,AL,16320.0,17575.0
Chambers,TX,19679.0,19604.0
Champaign,IL,103843.0,104103.0
Champaign,OH,19453.0,19552.0
Chariton,MO,3768.0,3818.0
Charles City,VA,3437.0,3585.0
Charles,MD,75368.0,80653.0
Charles Mix,SD,4637.0,4682.0
Charleston,SC,187854.0,199993.0
Charlevoix,MI,12868.0,13292.0
Charlotte,FL,84432.0,88804.0
Charlotte,VA,5991.0,6185.0
Charlton,GA,7393.0,5570.0
Chase,KS,1345.0,1320.0
Chase,NE,1892.0,1911.0
Chatham,GA,137781.0,147725.0
Chatham,NC,33000.0,35364.0
Chattahoochee,GA,7455.0,3641.0
Chattooga,GA,12730.0,12150.0
Chautauqua,KS,1778.0,1647.0
Chautauqua,NY,64652.0,66194.0
Chaves,NM,32536.0,32918.0
Cheatham,TN,19642.0,20071.0
Cheboygan,MI,12680.0,12795.0
Chelan,WA,37352.0,37786.0
Chemung,NY,43018.0,43865.0
Chenango,NY,24382.0,24381.0
Cherokee,AL,12862.0,12993.0
Cherokee,GA,116132.0,119764.0
Cherokee,IA,5804.0,5773.0
Cherokee,KS,10087.0,10414.0
Cherokee,NC,13483.0,13980.0
Cherokee,OK,23854.0,24550.0
Cherokee,SC,27527.0,29022.0
Cherokee,TX,26307.0,25287.0
Cherry,NE,2871.0,2921.0
Chester,PA,253509.0,261143.0
Chester,SC,15850.0,16574.0
Chester,TN,8199.0,8898.0
Chesterfield,SC,22685.0,23442.0
Chesterfield,VA,161644.0,173950.0
Cheyenne,CO,1086.0,1041.0
Cheyenne,KS,1324.0,1353.0
Cheyenne,NE,4899.0,5113.0
Chickasaw,IA,6053.0,6087.0
Chickasaw,MS,8393.0,8912.0
Chicot,AR,5401.0,5607.0
Childress,TX,3933.0,3131.0
Chilton,AL,21554.0,22251.0
Chippewa,MI,20948.0,17075.0
Chippewa,MN,5994.0,6046.0
Chippewa,WI,33015.0,30430.0
Chisago,MN,28102.0,26195.0
Chittenden,VT,78928.0,82057.0
Choctaw,AL,6277.0,6911.0
Choctaw,MS,4100.0,4260.0
Choctaw,OK,7248.0,7731.0
Chouteau,MT,2884.0,2928.0
Chowan,NC,6878.0,7492.0
Christian,IL,17040.0,16522.0
Christian,KY,38426.0,34012.0
Christian,MO,40265.0,42763.0
Churchill,NV,12177.0,11845.0
Cibola,NM,13678.0,13371.0
Cimarron,OK,1118.0,1103.0
Citrus,FL,68487.0,72886.0
Clackamas,OR,196834.0,203128.0
Claiborne,MS,4269.0,4837.0
Claiborne,TN,15284.0,16282.0
Claiborne,LA,9360.0,6936.0
Clallam,WA,36389.0,37050.0
Clare,MI,15148.0,15449.0
Clarendon,SC,16822.0,17334.0
Clarion,PA,18932.0,19815.0
Clark,AR,10697.0,11798.0
Clark,ID,566.0,489.0
Clark,IL,7827.0,8097.0
Clark,IN,55952.0,58941.0
Clark,KS,1073.0,1016.0
Clark,KY,17426.0,18331.0
Clark,MO,3467.0,3340.0
Clark,NV,1056002.0,1056434.0
Clark,OH,65575.0,69945.0
Clark,SD,1877.0,1765.0
Clark,WA,226178.0,231296.0
Clark,WI,17507.0,17006.0
Clarke,AL,11649.0,12976.0
Clarke,GA,58788.0,64766.0
Clarke,IA,4600.0,4667.0
Clarke,MS,7575.0,8514.0
Clarke,VA,7195.0,7136.0
Clatsop,OR,18909.0,19112.0
Clay,AL,6471.0,6936.0
Clay,AR,7421.0,7769.0
Clay,FL,100119.0,103172.0
Clay,GA,1495.0,1529.0
Clay,IA,8091.0,8296.0
Clay,IL,6602.0,6791.0
Clay,IN,12903.0,13472.0
Clay,KS,4051.0,4152.0
Clay,KY,11054.0,9812.0
Clay,MN,30613.0,31427.0
Clay,MO,115761.0,120307.0
Clay,MS,9273.0,10717.0
Clay,NC,5117.0,5636.0
Clay,NE,3210.0,3054.0
Clay,SD,6955.0,6952.0
Clay,TN,3777.0,3907.0
Clay,TX,5184.0,5185.0
Clay,WV,4443.0,4458.0
Clayton,GA,129364.0,144786.0
Clayton,IA,8916.0,8795.0
Clear Creek,CO,4752.0,4505.0
Clearfield,PA,41950.0,38589.0
Clearwater,ID,4742.0,3791.0
Clearwater,MN,4485.0,4339.0
Cleburne,AL,7367.0,7572.0
Cleburne,AR,12494.0,12867.0
Clermont,OH,99940.0,102226.0
Cleveland,AR,4189.0,4143.0
Cleveland,NC,46733.0,50305.0
Cleveland,OK,136970.0,137054.0
Clinch,GA,3411.0,3377.0
Clinton,IA,23289.0,24298.0
Clinton,IL,19549.0,18091.0
Clinton,IN,16044.0,16411.0
Clinton,KY,5119.0,5089.0
Clinton,MI,38231.0,39090.0
Clinton,MO,10282.0,10213.0
Clinton,NY,41648.0,39576.0
Clinton,OH,20707.0,21162.0
Clinton,PA,19293.0,20028.0
Cloud,KS,4553.0,4638.0
Coahoma,MS,11202.0,13094.0
Coal,OK,2819.0,2847.0
Cobb,GA,357252.0,381820.0
Cochise,AZ,64094.0,62422.0
Cochran,TX,1492.0,1440.0
Cocke,TN,17221.0,18041.0
Coconino,AZ,68264.0,70375.0
Codington,SD,14163.0,13800.0
Coffee,AL,25225.0,25848.0
Coffee,GA,22105.0,20943.0
Coffee,TN,26397.0,27677.0
Coffey,KS,4197.0,4131.0
Coke,TX,1609.0,1629.0
Colbert,AL,26143.0,28292.0
Cole,MO,38820.0,37929.0
Coleman,TX,4282.0,4140.0
Coles,IL,25395.0,27145.0
Colfax,NE,5527.0,5089.0
Colfax,NM,6317.0,6205.0
Colleton,SC,18265.0,19316.0
Collier,FL,175608.0,181166.0
Collin,TX,448915.0,465160.0
Collingsworth,TX,1508.0,1518.0
Colorado,TX,10487.0,10426.0
Colquitt,GA,22806.0,23084.0
Columbia,AR,11498.0,12494.0
Columbia,FL,35425.0,33059.0
Columbia,GA,70172.0,73551.0
Columbia,NY,30856.0,30625.0
Columbia,OR,25179.0,25028.0
Columbia,PA,32085.0,34530.0
Columbia,WA,1956.0,2043.0
Columbia,WI,29007.0,27783.0
Columbiana,OH,52586.0,51998.0
Columbus,NC,27882.0,28707.0
Colusa,CA,11157.0,10322.0
Comal,TX,63732.0,65368.0
Comanche,KS,841.0,900.0
Comanche,OK,63755.0,59311.0
Comanche,TX,6710.0,6782.0
Concho,TX,2622.0,1236.0
Concordia,LA,10319.0,9892.0
Conecuh,AL,6040.0,6609.0
Conejos,CO,4084.0,4063.0
Contra Costa,CA,548675.0,575003.0
Converse,WY,7279.0,6887.0
Conway,AR,10313.0,10641.0
Cook,GA,8275.0,8915.0
Cook,IL,2540704.0,2697837.0
Cook,MN,2609.0,2661.0
Cooke,TX,19358.0,19706.0
Cooper,MO,9267.0,8353.0
Coos,OR,30820.0,32101.0
Coosa,AL,5474.0,5481.0
Copiah,MS,13762.0,14986.0
Corson,SD,2125.0,2052.0
Cortland,NY,23443.0,24891.0
Coryell,TX,37921.0,37897.0
Coshocton,OH,18192.0,18410.0
Costilla,CO,1958.0,1670.0
Cottle,TX,758.0,740.0
Cotton,OK,2973.0,3027.0
Cottonwood,MN,5660.0,5777.0
Covington,AL,18133.0,19386.0
Covington,MS,9219.0,9953.0
Coweta,GA,67326.0,70689.0
Cowley,KS,17973.0,17759.0
Cowlitz,WA,51079.0,52511.0
Craig,OK,7416.0,7147.0
Craig,VA,2525.0,2606.0
Craighead,AR,50774.0,53472.0
Crane,TX,2515.0,2321.0
Craven,NC,52488.0,50886.0
Crawford,AR,30587.0,31532.0
Crawford,GA,6303.0,6082.0
Crawford,IA,8878.0,8253.0
Crawford,IL,10067.0,9147.0
Crawford,IN,5355.0,5243.0
Crawford,KS,19571.0,19528.0
Crawford,MI,6953.0,6868.0
Crawford,MO,12030.0,12357.0
Crawford,OH,20626.0,21605.0
Crawford,PA,42498.0,44349.0
Crawford,WI,8469.0,7844.0
Creek,OK,35142.0,35757.0
Crenshaw,AL,6786.0,7080.0
Crisp,GA,10813.0,12192.0
Crittenden,AR,23303.0,25975.0
