county,state,cases,deaths,TotalPop
Cass,MI,1103.0,24.0,51397.0
Cass,MN,471.0,5.0,28810.0
Cass,MO,2203.0,32.0,101888.0
Cass,ND,9930.0,87.0,170620.0
Cass,NE,605.0,4.0,25513.0
Cass,TX,562.0,25.0,30118.0
Cassia,ID,1469.0,9.0,23472.0
Castro,TX,320.0,7.0,7891.0
Caswell,NC,643.0,5.0,22833.0
Catahoula,LA,464.0,15.0,10044.0
Catawba,NC,4701.0,62.0,156182.0
Catoosa,GA,1493.0,23.0,65870.0
Catron,NM,10.0,1.0,3547.0
Cattaraugus,NY,549.0,18.0,78175.0
Cavalier,ND,111.0,1.0,3817.0
Cayuga,NY,453.0,2.0,78319.0
Cecil,MD,1381.0,36.0,102416.0
Cedar,IA,551.0,8.0,18368.0
Cedar,MO,254.0,4.0,13862.0
Cedar,NE,168.0,0.0,8561.0
Centre,PA,4292.0,19.0,160646.0
Cerro Gordo,IA,1603.0,27.0,43134.0
Chaffee,CO,433.0,20.0,18818.0
Chambers,AL,1392.0,47.0,33895.0
Chambers,TX,1585.0,10.0,39283.0
Champaign,IL,6824.0,28.0,207946.0
Champaign,OH,475.0,3.0,39005.0
Chariton,MO,75.0,0.0,7586.0
Charles City,VA,104.0,5.0,7022.0
Charles,MD,3247.0,102.0,156021.0
Charles Mix,SD,438.0,1.0,9319.0
Charleston,SC,17480.0,279.0,387847.0
Charlevoix,MI,220.0,4.0,26160.0
Charlotte,FL,3741.0,161.0,173236.0
Charlotte,VA,225.0,1.0,12176.0
Charlton,GA,649.0,10.0,12963.0
Chase,KS,107.0,3.0,2665.0
Chase,NE,164.0,0.0,3803.0
Chatham,GA,9547.0,191.0,285506.0
Chatham,NC,1978.0,61.0,68364.0
Chattahoochee,GA,1804.0,1.0,11096.0
Chattooga,GA,976.0,29.0,24880.0
Chautauqua,KS,25.0,0.0,3425.0
Chautauqua,NY,1017.0,14.0,130846.0
Chaves,NM,2169.0,19.0,65454.0
Cheatham,TN,1127.0,12.0,39713.0
Cheboygan,MI,187.0,2.0,25475.0
Chelan,WA,2025.0,17.0,75138.0
Chemung,NY,1852.0,3.0,86883.0
Chenango,NY,425.0,7.0,48763.0
Cherokee,AL,787.0,15.0,25855.0
Cherokee,GA,7364.0,102.0,235896.0
Cherokee,IA,446.0,2.0,11577.0
Cherokee,KS,720.0,7.0,20501.0
Cherokee,NC,782.0,15.0,27463.0
Cherokee,OK,1439.0,8.0,48404.0
Cherokee,SC,1558.0,52.0,56549.0
Cherokee,TX,1657.0,38.0,51594.0
Cherry,NE,81.0,4.0,5792.0
Chester,PA,8198.0,381.0,514652.0
Chester,SC,1265.0,28.0,32424.0
Chester,TN,754.0,16.0,17097.0
Chesterfield,SC,1513.0,46.0,46127.0
Chesterfield,VA,7302.0,120.0,335594.0
Cheyenne,CO,15.0,0.0,2127.0
Cheyenne,KS,120.0,5.0,2677.0
Cheyenne,NE,130.0,0.0,10012.0
Chickasaw,IA,393.0,1.0,12140.0
Chickasaw,MS,880.0,29.0,17305.0
Chicot,AR,1056.0,23.0,11008.0
Childress,TX,125.0,0.0,7064.0
Chilton,AL,1946.0,33.0,43805.0
Chippewa,MI,187.0,0.0,38023.0
Chippewa,MN,497.0,3.0,12040.0
Chippewa,WI,1958.0,24.0,63445.0
Chisago,MN,1249.0,2.0,54297.0
Chittenden,VT,1009.0,39.0,160985.0
Choctaw,AL,395.0,12.0,13188.0
Choctaw,MS,217.0,6.0,8360.0
Choctaw,OK,488.0,2.0,14979.0
Chouteau,MT,119.0,0.0,5812.0
Chowan,NC,538.0,12.0,14370.0
Christian,IL,912.0,31.0,33562.0
Christian,KY,2025.0,29.0,72438.0
Christian,MO,2463.0,16.0,83028.0
Churchill,NV,245.0,4.0,24022.0
Cibola,NM,658.0,23.0,27049.0
Cimarron,OK,40.0,0.0,2221.0
Citrus,FL,3308.0,135.0,141373.0
Clackamas,OR,3383.0,67.0,399962.0
Claiborne,MS,545.0,16.0,9106.0
Claiborne,TN,556.0,8.0,31566.0
Claiborne,LA,607.0,26.0,16296.0
Clallam,WA,271.0,1.0,73439.0
Clare,MI,319.0,14.0,30597.0
Clarendon,SC,1195.0,68.0,34156.0
Clarion,PA,245.0,4.0,38747.0
Clark,AR,530.0,5.0,22495.0
Clark,ID,40.0,0.0,1055.0
Clark,IL,334.0,18.0,15924.0
Clark,IN,3310.0,67.0,114893.0
Clark,KS,68.0,4.0,2089.0
Clark,KY,565.0,12.0,35757.0
Clark,MO,130.0,1.0,6807.0
Clark,NV,82966.0,1517.0,2112436.0
Clark,OH,2924.0,57.0,135520.0
Clark,SD,145.0,1.0,3642.0
Clark,WA,4566.0,79.0,457474.0
Clark,WI,1021.0,17.0,34513.0
Clarke,AL,1406.0,17.0,24625.0
Clarke,GA,5865.0,50.0,123554.0
Clarke,IA,368.0,3.0,9267.0
Clarke,MS,791.0,53.0,16089.0
Clarke,VA,125.0,1.0,14331.0
Clatsop,OR,257.0,0.0,38021.0
Clay,AL,776.0,12.0,13407.0
Clay,AR,517.0,13.0,15190.0
Clay,FL,6200.0,127.0,203291.0
Clay,GA,124.0,3.0,3024.0
Clay,IA,595.0,4.0,16387.0
Clay,IL,350.0,14.0,13393.0
Clay,IN,554.0,10.0,26375.0
Clay,KS,114.0,3.0,8203.0
Clay,KY,637.0,6.0,20866.0
Clay,MN,2690.0,45.0,62040.0
Clay,MO,2761.0,48.0,236068.0
Clay,MS,723.0,22.0,19990.0
Clay,NC,241.0,3.0,10753.0
Clay,NE,195.0,1.0,6264.0
Clay,SD,877.0,8.0,13907.0
Clay,TN,426.0,16.0,7684.0
Clay,TX,133.0,3.0,10369.0
Clay,WV,65.0,3.0,8901.0
Clayton,GA,8467.0,179.0,274150.0
Clayton,IA,568.0,3.0,17711.0
Clear Creek,CO,93.0,1.0,9257.0
Clearfield,PA,502.0,7.0,80539.0
Clearwater,ID,149.0,0.0,8533.0
Clearwater,MN,155.0,1.0,8824.0
Cleburne,AL,590.0,9.0,14939.0
Cleburne,AR,500.0,16.0,25361.0
Clermont,OH,2961.0,39.0,202166.0
Cleveland,AR,257.0,13.0,8332.0
Cleveland,NC,3344.0,86.0,97038.0
Cleveland,OK,8726.0,105.0,274024.0
Clinch,GA,461.0,13.0,6788.0
Clinton,IA,1652.0,29.0,47587.0
Clinton,IL,1919.0,31.0,37640.0
Clinton,IN,1055.0,16.0,32455.0
Clinton,KY,251.0,3.0,10208.0
Clinton,MI,1297.0,16.0,77321.0
Clinton,MO,558.0,24.0,20495.0
Clinton,NY,270.0,5.0,81224.0
Clinton,OH,575.0,13.0,41869.0
Clinton,PA,282.0,7.0,39321.0
Cloud,KS,166.0,1.0,9191.0
Coahoma,MS,1286.0,37.0,24296.0
Coal,OK,119.0,0.0,5666.0
Cobb,GA,22375.0,459.0,739072.0
Cochise,AZ,2205.0,75.0,126516.0
Cochran,TX,116.0,2.0,2932.0
Cocke,TN,1178.0,17.0,35262.0
Coconino,AZ,5405.0,149.0,138639.0
Codington,SD,1666.0,15.0,27963.0
Coffee,AL,1878.0,11.0,51073.0
Coffee,GA,2305.0,64.0,43048.0
Coffee,TN,2036.0,28.0,54074.0
Coffey,KS,173.0,9.0,8328.0
Coke,TX,129.0,7.0,3238.0
Colbert,AL,2307.0,32.0,54435.0
Cole,MO,3430.0,26.0,76749.0
Coleman,TX,96.0,4.0,8422.0
Coles,IL,2178.0,40.0,52540.0
Colfax,NE,971.0,7.0,10616.0
Colfax,NM,46.0,1.0,12522.0
Colleton,SC,1292.0,49.0,37581.0
Collier,FL,14664.0,256.0,356774.0
Collin,TX,18748.0,188.0,914075.0
Collingsworth,TX,21.0,0.0,3026.0
Colorado,TX,510.0,4.0,20913.0
Colquitt,GA,2142.0,40.0,45890.0
Columbia,AR,757.0,21.0,23992.0
Columbia,FL,4300.0,79.0,68484.0
Columbia,GA,4500.0,66.0,143723.0
Columbia,NY,736.0,38.0,61481.0
Columbia,OR,280.0,2.0,50207.0
Columbia,PA,1079.0,43.0,66615.0
Columbia,WA,17.0,1.0,3999.0
Columbia,WI,1945.0,7.0,56790.0
Columbiana,OH,2269.0,88.0,104584.0
Columbus,NC,1787.0,62.0,56589.0
Colusa,CA,557.0,6.0,21479.0
Comal,TX,2884.0,106.0,129100.0
Comanche,KS,20.0,0.0,1741.0
Comanche,OK,2590.0,18.0,123066.0
Comanche,TX,375.0,5.0,13492.0
Concho,TX,144.0,2.0,3858.0
Concordia,LA,613.0,16.0,20211.0
Conecuh,AL,577.0,13.0,12649.0
Conejos,CO,82.0,0.0,8147.0
Contra Costa,CA,19195.0,246.0,1123678.0
Converse,WY,342.0,0.0,14166.0
Conway,AR,361.0,4.0,20954.0
Cook,GA,614.0,16.0,17190.0
Cook,IL,193102.0,5500.0,5238541.0
