county,state,percentage16_Donald_Trump,percentage16_Hillary_Clinton,total_votes16,votes16_Donald_Trump,votes16_Hillary_Clinton,percentage20_Donald_Trump,percentage20_Joe_Biden,total_votes20,votes20_Donald_Trump,votes20_Joe_Biden,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Income,IncomePerCap,Poverty,Unemployment
Alleghany,VA,0.667,0.29600000000000004,7306.0,4873.0,2165.0,0.715,0.27399999999999997,8191.0,5859.0,2243.0,154.0,4.0,15489.0,7586.0,7903.0,1.4,91.9,5.5,0.0,0.1,0.1,46020.0,25952.0,19.3,4.4
Allegheny,PA,0.4,0.564,643173.0,257488.0,363017.0,0.39,0.595,707837.0,275955.0,421004.0,15940.0,419.0,1229605.0,593177.0,636428.0,2.0,79.1,12.7,0.1,3.5,0.0,56333.0,35280.0,12.5,5.9
Allen,IN,0.575,0.379,145787.0,83801.0,55222.0,0.544,0.431,168964.0,91885.0,72825.0,9638.0,237.0,367747.0,179414.0,188333.0,7.2,74.6,11.3,0.2,3.5,0.0,51091.0,26932.0,14.7,6.3
Allen,KS,0.6729999999999999,0.263,5314.0,3575.0,1398.0,0.711,0.267,5842.0,4155.0,1559.0,112.0,1.0,12752.0,6318.0,6434.0,3.3,90.7,1.5,0.1,0.6,0.1,43031.0,23011.0,14.2,3.6
Allen,KY,0.799,0.16699999999999998,8091.0,6466.0,1349.0,0.81,0.175,9363.0,7586.0,1642.0,566.0,11.0,20628.0,10227.0,10401.0,1.9,95.4,1.9,0.0,0.2,0.0,40598.0,21652.0,20.0,7.5
Allen,OH,0.669,0.287,44636.0,29858.0,12815.0,0.691,0.294,46362.0,32052.0,13611.0,2580.0,80.0,104157.0,52614.0,51543.0,2.9,81.2,11.7,0.2,0.7,0.0,47905.0,24551.0,15.0,7.2
Allen,LA,0.743,0.228,9245.0,6867.0,2106.0,0.772,0.215,9810.0,7574.0,2108.0,1856.0,63.0,25667.0,14542.0,11125.0,4.9,71.1,19.0,1.8,0.7,0.0,42176.0,20103.0,16.6,9.4
Allendale,SC,0.22,0.7609999999999999,3578.0,788.0,2722.0,0.23199999999999998,0.7559999999999999,3593.0,835.0,2718.0,424.0,7.0,9402.0,4952.0,4450.0,3.1,22.5,73.5,0.5,0.0,0.0,23331.0,13439.0,30.4,17.3
Alpena,MI,0.619,0.332,14688.0,9090.0,4877.0,0.63,0.354,16966.0,10686.0,6000.0,180.0,14.0,28730.0,14169.0,14561.0,1.3,96.0,0.5,0.4,0.4,0.1,40954.0,24030.0,15.0,6.4
Alpine,CA,0.36700000000000005,0.5529999999999999,575.0,211.0,318.0,0.32299999999999995,0.643,736.0,238.0,473.0,8.0,0.0,1203.0,664.0,539.0,9.7,64.6,1.5,20.6,0.7,0.0,63438.0,27448.0,19.8,14.6
Amador,CA,0.604,0.34,10049.0,6069.0,3420.0,0.609,0.366,22282.0,13571.0,8147.0,347.0,16.0,37306.0,20005.0,17301.0,13.2,79.3,2.0,0.7,1.5,0.2,60636.0,29628.0,10.6,9.3
Amelia,VA,0.669,0.306,7035.0,4704.0,2150.0,0.684,0.306,7881.0,5390.0,2411.0,150.0,6.0,12802.0,6644.0,6158.0,1.1,72.4,23.7,0.3,0.1,0.0,58535.0,26118.0,13.0,3.3
Amherst,VA,0.636,0.32899999999999996,15164.0,9643.0,4986.0,0.622,0.32,17719.0,11020.0,5673.0,626.0,6.0,31819.0,15331.0,16488.0,2.3,75.5,17.6,0.2,0.6,0.0,49677.0,24296.0,13.4,5.6
