county,state,votes16_Donald_Trump,votes16_Hillary_Clinton,total_votes16
Calhoun,FL,4647.0,1236.0,6067.0
Calhoun,GA,829.0,1178.0,2023.0
Calhoun,IA,3466.0,1396.0,5105.0
Calhoun,IL,1719.0,739.0,2556.0
Calhoun,MI,31489.0,24154.0,58786.0
Calhoun,MS,4360.0,1884.0,6339.0
Calhoun,SC,3785.0,3569.0,7553.0
Calhoun,TX,4638.0,2118.0,6957.0
Calhoun,WV,2023.0,456.0,2604.0
Callahan,TX,4858.0,568.0,5556.0
Callaway,MO,13052.0,4988.0,19127.0
Calloway,KY,10367.0,4749.0,16045.0
Calumet,WI,15345.0,9634.0,26429.0
Calvert,MD,24680.0,16669.0,43445.0
Camas,ID,410.0,110.0,599.0
Cambria,PA,40510.0,17798.0,60167.0
Camden,GA,12287.0,5914.0,18825.0
Camden,MO,16721.0,4706.0,22182.0
Camden,NC,3527.0,1266.0,4939.0
Camden,NJ,71020.0,142375.0,220437.0
Cameron,PA,1495.0,469.0,2024.0
Cameron,TX,29432.0,59319.0,91804.0
Cameron,LA,3256.0,323.0,3692.0
Camp,TX,3201.0,1260.0,4542.0
Campbell,KY,25050.0,14658.0,42489.0
Campbell,SD,704.0,105.0,831.0
Campbell,TN,9860.0,2248.0,12504.0
Campbell,VA,19442.0,6597.0,27218.0
Campbell,WY,15778.0,1324.0,17935.0
Canadian,OK,39969.0,11666.0,55250.0
Candler,GA,2661.0,1023.0,3757.0
Cannon,TN,4006.0,1126.0,5299.0
Canyon,ID,46755.0,16683.0,72007.0
Cape Girardeau,MO,26939.0,8468.0,36875.0
Cape May,NJ,28237.0,18626.0,48375.0
Carbon,MT,3729.0,1824.0,5936.0
Carbon,PA,18714.0,8917.0,28721.0
Carbon,UT,5055.0,1673.0,7654.0
Carbon,WY,4409.0,1279.0,6200.0
Caribou,ID,2275.0,271.0,3035.0
Carlisle,KY,2094.0,432.0,2601.0
Carlton,MN,8160.0,8460.0,18059.0
Caroline,MD,8999.0,3747.0,13282.0
Caroline,VA,7143.0,6425.0,14189.0
Carroll,AR,6773.0,3334.0,10736.0
Carroll,GA,29983.0,12422.0,43744.0
Carroll,IA,6627.0,3305.0,10435.0
Carroll,IL,4428.0,2437.0,7354.0
Carroll,IN,6273.0,1891.0,8609.0
Carroll,KY,2588.0,1106.0,3855.0
Carroll,MD,55593.0,24314.0,84879.0
Carroll,MO,3480.0,745.0,4361.0
Carroll,MS,3774.0,1648.0,5470.0
Carroll,NH,14635.0,12987.0,29083.0
Carroll,OH,9067.0,3124.0,12807.0
Carroll,TN,7731.0,2323.0,10333.0
Carroll,VA,10653.0,2557.0,13587.0
Carson City,NV,13125.0,9610.0,25016.0
Carson,TX,2617.0,249.0,2945.0
Carter,KY,7587.0,2276.0,10274.0
Carter,MO,2323.0,436.0,2842.0
Carter,MT,677.0,70.0,778.0
Carter,OK,13751.0,4002.0,18533.0
Carter,TN,16897.0,3453.0,20993.0
Carteret,NC,26228.0,9806.0,36919.0
Carver,MN,29057.0,21508.0,55102.0
Cascade,MT,19343.0,12053.0,33923.0
Casey,KY,5482.0,767.0,6439.0
Cass,IA,4755.0,1946.0,7055.0
Cass,IL,3216.0,1617.0,5054.0
Cass,IN,9697.0,3758.0,14135.0
Cass,MI,14241.0,7270.0,23272.0
Cass,MN,9982.0,4949.0,15885.0
Cass,MO,33006.0,14816.0,50715.0
Cass,ND,39738.0,31291.0,78807.0
Cass,NE,8388.0,3461.0,12609.0
Cass,TX,9182.0,2250.0,11606.0
Cassia,ID,5949.0,1036.0,8178.0
Castro,TX,1413.0,526.0,1996.0
Caswell,NC,5758.0,4549.0,10515.0
Catahoula,LA,3479.0,1322.0,4856.0
Catawba,NC,48062.0,21050.0,71065.0
Catoosa,GA,20860.0,4769.0,26510.0
Catron,NM,1453.0,426.0,2035.0
Cattaraugus,NY,18668.0,8717.0,28961.0
Cavalier,ND,1356.0,476.0,1969.0
Cayuga,NY,16194.0,12202.0,30124.0
Cecil,MD,27579.0,12651.0,42309.0
Cedar,IA,5275.0,3578.0,9386.0
Cedar,MO,5019.0,1010.0,6278.0
Cedar,NE,3533.0,572.0,4360.0
Centre,PA,35099.0,36555.0,75394.0
Cerro Gordo,IA,11583.0,9840.0,22633.0
Chaffee,CO,5283.0,4773.0,10999.0
Chambers,AL,7803.0,5763.0,13778.0
Chambers,TX,13278.0,2939.0,16661.0
Champaign,IL,33235.0,49694.0,89196.0
Champaign,OH,12314.0,4488.0,17597.0
Chariton,MO,2948.0,888.0,3962.0
Charles City,VA,1381.0,2244.0,3745.0
Charles,MD,24163.0,46063.0,72480.0
Charles Mix,SD,2382.0,935.0,3433.0
Charleston,SC,75233.0,89048.0,175850.0
Charlevoix,MI,8674.0,5137.0,14567.0
Charlotte,FL,60196.0,33421.0,96323.0
Charlotte,VA,3479.0,2153.0,5792.0
Charlton,GA,2950.0,1004.0,4008.0
Chase,KS,964.0,313.0,1342.0
Chase,NE,1621.0,171.0,1851.0
Chatham,GA,43649.0,58998.0,106013.0
Chatham,NC,17012.0,20953.0,39080.0
Chattahoochee,GA,746.0,593.0,1384.0
Chattooga,GA,6457.0,1612.0,8246.0
Chautauqua,KS,1552.0,236.0,1845.0
Chautauqua,NY,29418.0,17281.0,49381.0
Chaves,NM,12869.0,5530.0,20261.0
Cheatham,TN,11295.0,3877.0,15823.0
Cheboygan,MI,8680.0,4302.0,13647.0
Chelan,WA,11556.0,8402.0,21038.0
Chemung,NY,19025.0,12394.0,33195.0
Chenango,NY,11024.0,5943.0,18113.0
Cherokee,AL,8809.0,1524.0,10503.0
Cherokee,GA,80611.0,25203.0,110825.0
Cherokee,IA,4188.0,1676.0,6186.0
Cherokee,KS,6017.0,1959.0,8386.0
Cherokee,NC,10711.0,2809.0,13860.0
Cherokee,OK,9992.0,5455.0,16487.0
Cherokee,SC,15165.0,6089.0,21754.0
Cherokee,TX,12896.0,3466.0,16701.0
Cherry,NE,2623.0,317.0,3082.0
Chester,PA,115582.0,140188.0,266637.0
Chester,SC,7272.0,6582.0,14202.0
Chester,TN,3827.0,902.0,4850.0
Chesterfield,SC,9576.0,7125.0,17128.0
Chesterfield,VA,84938.0,80993.0,175288.0
Cheyenne,CO,905.0,127.0,1076.0
Cheyenne,KS,1172.0,188.0,1409.0
Cheyenne,NE,3610.0,702.0,4569.0
Chickasaw,IA,3739.0,2264.0,6367.0
