county,state,Poverty,Income,IncomePerCap,Unemployment
Loudoun,VA,3.7,129588.0,50456.0,3.8
Louisa,IA,11.0,54393.0,27234.0,4.1
Louisa,VA,11.8,56946.0,30237.0,7.7
Loup,NE,8.9,58625.0,29248.0,0.7
Love,OK,12.2,49409.0,20965.0,3.9
Loving,TX,17.1,80938.0,35530.0,0.0
Lowndes,AL,30.2,29785.0,18976.0,11.2
Lowndes,GA,25.0,39911.0,21199.0,9.2
Lowndes,MS,21.1,43198.0,23141.0,11.4
Lubbock,TX,18.8,49078.0,26196.0,4.8
Lucas,IA,9.9,47325.0,27234.0,4.2
Lucas,OH,19.8,44820.0,27111.0,8.5
Luce,MI,19.4,41221.0,19442.0,11.8
Lumpkin,GA,20.1,43039.0,23364.0,6.0
Luna,NM,31.8,27602.0,16622.0,11.4
