county,state,TotalPop,Hispanic,White,Black,Native,Asian,Pacific
Bland,VA,6524.0,0.5,94.3,4.8,0.0,0.0,0.0
Bleckley,GA,12779.0,2.7,68.8,27.7,0.1,0.2,0.0
Bledsoe,TN,14413.0,2.1,89.2,4.0,1.1,0.3,0.0
Blount,AL,57667.0,9.0,87.4,1.5,0.3,0.1,0.0
Blount,TN,127135.0,3.1,91.4,2.5,0.3,0.7,0.1
Blue Earth,MN,65767.0,3.2,88.9,3.3,0.3,2.1,0.0
Boise,ID,6968.0,4.1,91.8,0.2,1.0,0.7,0.0
Bolivar,MS,33121.0,2.1,32.4,64.2,0.3,0.9,0.0
Bollinger,MO,12347.0,1.2,96.5,0.4,0.7,0.4,0.0
Bon Homme,SD,6972.0,3.0,87.4,1.3,5.0,1.4,0.0
Bond,IL,17034.0,3.5,87.8,6.1,0.2,1.2,0.0
Bonner,ID,41855.0,2.9,93.6,0.1,0.6,0.7,0.1
Bonneville,ID,110404.0,12.7,83.6,0.5,0.3,0.8,0.2
Boone,AR,37212.0,2.3,94.2,0.4,1.1,0.5,0.1
Boone,IA,26381.0,2.5,94.6,0.4,0.1,0.4,0.7
Boone,IL,53638.0,21.0,74.0,2.1,0.3,1.2,0.0
Boone,IN,63013.0,2.7,91.6,1.6,0.2,2.6,0.0
Boone,KY,127682.0,4.1,88.4,3.0,0.1,2.3,0.0
Boone,MO,174589.0,3.3,79.5,8.5,0.1,4.2,0.1
Boone,NE,5357.0,2.0,96.7,0.5,0.0,0.1,0.1
Boone,WV,23236.0,0.6,97.8,0.8,0.0,0.2,0.0
Borden,TX,602.0,7.6,92.4,0.0,0.0,0.0,0.0
Bosque,TX,17955.0,17.6,78.7,1.4,0.3,0.3,0.0
Bossier,LA,125698.0,6.5,67.6,21.6,0.5,1.5,0.1
Botetourt,VA,33149.0,1.6,93.0,3.0,0.3,0.9,0.0
Bottineau,ND,6651.0,2.2,92.0,0.8,2.4,0.3,0.0
Boulder,CO,316782.0,13.8,78.2,0.8,0.2,4.5,0.1
Boundary,ID,11323.0,4.6,90.9,0.2,1.3,0.5,0.4
Bourbon,KS,14757.0,2.5,90.5,3.2,0.7,0.9,0.0
Bourbon,KY,20017.0,6.7,85.2,7.2,0.0,0.3,0.0
Bowie,TX,93635.0,7.4,64.5,23.9,0.8,1.0,0.0
Bowman,ND,3226.0,5.1,92.6,0.1,1.2,0.0,0.0
Box Butte,NE,11200.0,12.1,82.3,0.6,2.8,0.3,0.3
Box Elder,UT,52182.0,9.1,87.3,0.5,1.0,0.8,0.1
Boyd,KY,48486.0,1.7,93.3,2.4,0.1,0.3,0.0
Boyd,NE,2049.0,0.7,95.0,0.5,1.5,0.9,0.0
Boyle,KY,29773.0,3.2,85.9,7.1,0.2,0.8,0.0
Bracken,KY,8330.0,1.6,96.4,0.0,0.2,0.5,0.0
Bradford,FL,26775.0,3.8,74.5,19.1,0.3,0.6,0.0
Bradford,PA,61546.0,1.4,96.1,0.6,0.1,0.6,0.0
